Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Assist (jugador),Assist (valor),Recuperacions (jugador),Recuperacions (valor),Perd (jugador),Perd (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltes Rebudes (jugador),Faltes Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efec (jugador),% Tir Efec (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesiones No Anotades (jugador),Possesiones No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Puntes per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perd Mal Pase (Jugador),Perd Mal Pase (Valor),Perd Pilota Controlada (jugador),Perd Pilota Controlada (valor),Altres Perd (jugador),Altres Perd (valor),Faltes de Tir (jugador),Faltes de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor)
b'CARLOTA CARNER CARRER',32.21,b'PAULA BARGHOUT GILI',13.54,b'PAULA BARGHOUT GILI',4.71,b'PAULA BARGHOUT GILI',11.08,b'BERTA JUNYENT ARRABAL',0.57,b'VINYET GARCIA ALARCOS',2.32,b'JUDITH MOYA REIG',6.52,b'LIDIA TAPIA ANTOLIN',0.67,b'MARINA LABORDA MARTIN',3.96,b'MARINA LABORDA MARTIN',6.36,b'BERTA JUNYENT ARRABAL',1.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'MARIONA DOMNGUEZ ALVAREZ',3.48,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'ONA SERRA CARRIO',0.0,b'BERTA JUNYENT ARRABAL',0.85,b'PAULA BARGHOUT GILI',4.79,b'PAULA BARGHOUT GILI',11.92,b'IRINA FIGUERAS VIL',0.52
b'CARMEN MASIDES SANCHEZ',31.1,b'JULIA JUVANTENY PALOMERAS',12.08,b'JULIA JUVANTENY PALOMERAS',3.96,b'LIDIA TAPIA ANTOLIN',9.05,b'ANDREEA MARIA COJOCARIU',0.55,b'MAR MART TORRECILLAS',1.73,b'MAR MART TORRECILLAS',6.42,b'LAURA HUALDE GUILLAMET',0.5,b'PAULA BARGHOUT GILI',3.88,b'PAULA BARGHOUT GILI',6.33,b'MARINA PORTILLO DE LA OSA',0.9,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'PAULA BARGHOUT GILI',3.29,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'MERITXELL GRAS BADIA',0.0,b'JUDITH MOYA REIG',0.81,b'JULIA JUVANTENY PALOMERAS',4.36,b'CARMEN MASIDES SANCHEZ',11.6,b'JULIA JUVANTENY PALOMERAS',0.5
b'MARINA LABORDA MARTIN',30.4,b'MARINA LABORDA MARTIN',11.96,b'MERCHE CARRILLO PEREZ',3.84,b'CARLOTA CARNER CARRER',8.58,b'IRINA FIGUERAS VIL',0.54,b'MIRIAM FERRERI RIERA',1.56,b'VINYET GARCIA ALARCOS',6.0,b'NURIA BELTRAN MASANES',0.5,b'ESTHER MURAT NAVARRO',3.81,b'ESTHER MURAT NAVARRO',6.08,b'ESTEFANA GALLEGO GARCA',0.87,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'ANDREEA MARIA COJOCARIU',3.19,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'MAR IBERN COLLGROS',0.0,b'VINYET GARCIA ALARCOS',0.78,b'CARLOTA CARNER CARRER',4.08,b'SARA JOFRESA SARRET',11.29,b'INES PEREZPAYA ALONSO',0.5
b'LAIA TORRES DIAZ',29.54,b'CARLOTA CARNER CARRER',11.92,b'CARLOTA CARNER CARRER',3.83,b'MERCHE CARRILLO PEREZ',8.52,b'SERENA MIRAT SOLER',0.53,b'SARA JOFRESA SARRET',1.54,b'JLIA ALSINA GALVEZ',5.65,b'VINYET GARCIA ALARCOS',0.39,b'MIRIAM TAJAHUERCE PRIM',3.62,b'CARMEN MASIDES SANCHEZ',5.75,b'ANNA GAMARRA RAMIREZ',0.85,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'CARLOTA CARNER CARRER',3.17,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ANNA BOADAS PRATS',0.0,b'ESTHER CORTS MALDONADO',0.77,b'MERCHE CARRILLO PEREZ',4.08,b'MIRIAM FERRERI RIERA',11.12,b'MAR DOATE GONZLEZ',0.48
b'MARTA BLANCO MORROS',29.35,b'MERCHE CARRILLO PEREZ',11.6,b'CLAUDIA GENER VILA',3.72,b'BERTA RIBAS BOSCH',8.2,b'ESTHER CORTS MALDONADO',0.53,b'JUDITH MOYA REIG',1.52,b'MARINA PORTILLO DE LA OSA',5.5,b'ALBA FARELL TORRES',0.38,b'CARLOTA CARNER CARRER',3.5,b'INES PEREZPAYA ALONSO',5.5,b'LAIA TORRES DIAZ',0.83,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'IRINA FIGUERAS VIL',3.08,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'RUT ULRICH OGANDO',0.0,b'JANA GARCIA VILA',0.75,b'CLAUDIA GENER VILA',4.06,b'MAR MART TORRECILLAS',10.08,b'SERENA MIRAT SOLER',0.47
b'MARINA SERRA PASTELLS',28.58,b'CARMEN MASIDES SANCHEZ',11.55,b'INES PEREZPAYA ALONSO',3.67,b'JULIA JUVANTENY PALOMERAS',7.72,b'JULIA JUVANTENY PALOMERAS',0.51,b'MARINA PORTILLO DE LA OSA',1.42,b'SARA JOFRESA SARRET',5.46,b'JULIA JUVANTENY PALOMERAS',0.37,b'MERCHE CARRILLO PEREZ',3.2,b'ESTELA CUSINE ADROVER',5.19,b'RUT ULRICH OGANDO',0.83,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'ARIEL GOMEZ GARCIA',3.08,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'JULIA JUVANTENY PALOMERAS',0.0,b'MIREIA BALLESTA GOMEZ',0.72,b'MIRIAM FERRERI RIERA',4.04,b'MARINA LABORDA MARTIN',9.92,b'ANDREEA MARIA COJOCARIU',0.47
b'SIRA BELTRAN MASANES',28.46,b'MIRIAM FERRERI RIERA',10.96,b'LIDIA TAPIA ANTOLIN',3.63,b'CARLA ORTAS NET',7.52,b'CLAUDIA GENER VILA',0.5,b'ESTHER CORTS MALDONADO',1.31,b'JANA GARCIA VILA',4.91,b'MARTA FERRS TUSET',0.37,b'GEMMA MIRO ALBIANA',3.19,b'MERCHE CARRILLO PEREZ',5.04,b'AINHOA PINEDA RODRGUEZ',0.83,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'ALBA ACEVEDO VERGARA',3.04,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'MARIA ANDREA FERREIRO MOREU',0.0,b'LAURA VANCELLS NOGUERA',0.7,b'CARMEN MASIDES SANCHEZ',3.9,b'ALBA ACEVEDO VERGARA',9.92,b'ARIADNA SIMON LADERAS',0.45
b'LAURA PASCUAL GRAU',28.18,b'MIRIAM TAJAHUERCE PRIM',10.81,b'CARLA ORTAS NET',3.32,b'CLAUDIA GENER VILA',7.44,b'MARIA ANDREA FERREIRO MOREU',0.5,b'JANA GARCIA VILA',1.3,b'CLARA LOPEZ LUCAS',4.78,b'ESTEFANA GALLEGO GARCA',0.37,b'ESTELA CUSINE ADROVER',3.1,b'CARLOTA CARNER CARRER',4.79,b'MARINA SERRA PASTELLS',0.83,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MAR DOATE GONZLEZ',3.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA SERRA PASTELLS',0.0,b'MARINA PORTILLO DE LA OSA',0.68,b'LIDIA TAPIA ANTOLIN',3.74,b'JOANA CAMARASA I BONANY',9.68,b'CLAUDIA GENER VILA',0.45
b'MERCHE CARRILLO PEREZ',28.16,b'INES PEREZPAYA ALONSO',10.42,b'MIRIAM TAJAHUERCE PRIM',3.19,b'ANNA PALACIOS CARBONELL',7.4,b'INES PEREZPAYA ALONSO',0.5,b'MARTA BLANCO MORROS',1.26,b'JUDIT ORTIZ CIRUELA',4.75,b'CLAUDIA VADILLO GIL',0.36,b'INES PEREZPAYA ALONSO',3.08,b'MIRIAM TAJAHUERCE PRIM',4.65,b'SARA JOFRESA SARRET',0.82,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MARINA GARCIA MENNDEZ',2.89,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'MAR CARBO CACHINERO',0.0,b'JUDIT LIRIO GONZALEZ',0.64,b'INES PEREZPAYA ALONSO',3.67,b'CLAUDIA HERNANDEZ GARCIA',9.64,b'ELISABET GENIUS SERRA',0.44
b'SARA JOFRESA SARRET',27.54,b'LAURA PASCUAL GRAU',10.27,b'CARMEN MASIDES SANCHEZ',3.1,b'INES PEREZPAYA ALONSO',7.29,b'ANGELA CABARROCAS DOMINGUEZ',0.49,b'CLARA LOPEZ LUCAS',1.22,b'CARMEN MASIDES SANCHEZ',4.75,b'LAURA PRADO MORALES',0.35,b'JULIA JUVANTENY PALOMERAS',2.96,b'GEMMA MIRO ALBIANA',4.62,b'DUNA MORENO MORATALLA',0.79,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'MARINA PEREZ LOPEZ',2.88,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'THAIS MORALES LOPEZ',0.0,b'MAR MART TORRECILLAS',0.64,b'MARINA LABORDA MARTIN',3.6,b'CARLOTA CARNER CARRER',9.62,b'MERCHE CARRILLO PEREZ',0.43
