Nombre,Condicion,Partidos,Minutos,Puntos,T2 Anotados,T2 Lanzados,% T2,T3 Anotados,T3 Lanzados,% T3,T1 Anotados,T1 Lanzados,% T1,Reb. Ofensivos,Reb. Defensivos,Rebotes,Asistencias,Robos,Perdidas,Tapones,Tapones Recibidos,Mates,Faltas Cometidas,Faltas Recibidas,Valoracion,Posesiones,Ritmo,OER,% TC Efectivo,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Pérdidas Mal Pase,Perdidas Balón Controlado,Otras Perdidas,Faltas de Tiro,Faltas No de Tiro,Técnicas,Antideportivas,Ofensivas,% Perd pase,%Perd balon,%Perd others,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Puntos tras Assistencia,OER tras Asistencia,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p
Equipo,Fase 01,4.0,200.0,73.25,17.25,41.0,0.42,6.5,19.5,0.33,19.25,28.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,279.0,0.52,105.02,11.16,11.8,7.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipo Rival,Fase 01,4.0,200.0,64.5,13.5,32.75,0.41,7.75,26.0,0.3,14.25,20.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.75,0.0,0.0,260.0,0.48,99.23,10.69,10.71,6.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
