Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
BARCA Equipo,['Mitjana'],14.0,200.0,76.71,19.86,38.71,0.51,8.71,28.79,0.3,10.86,17.93,0.61,20.57,75.36,0.52,101.8,48.78,46.37,16.08,0.43
BARCA Equipo Rival,['Mitjana Rival'],14.0,200.0,59.71,15.64,38.36,0.41,6.29,22.14,0.28,9.57,18.21,0.53,20.0,68.5,0.48,87.17,41.44,40.68,15.82,0.37
BASQUET GIRONA U18 Equipo,['Mitjana'],14.0,201.79,66.43,17.86,40.43,0.44,6.14,23.36,0.26,12.29,23.14,0.53,22.07,73.93,0.51,89.86,42.44,42.74,19.26,0.37
BASQUET GIRONA U18 Equipo Rival,['Mitjana Rival'],14.0,201.79,71.29,20.93,39.86,0.53,5.36,22.36,0.24,13.36,20.5,0.65,21.64,71.21,0.49,100.1,46.56,47.56,21.47,0.36
BASQUET MANRESA A Equipo,['Mitjana'],14.0,200.0,75.93,20.57,40.29,0.51,7.43,28.07,0.26,12.5,21.07,0.59,19.14,77.57,0.51,97.88,46.39,45.63,18.29,0.41
BASQUET MANRESA A Equipo Rival,['Mitjana Rival'],14.0,200.0,68.29,19.79,43.29,0.46,5.93,22.5,0.26,10.93,17.21,0.63,21.36,73.36,0.49,93.09,43.59,43.6,16.61,0.34
C.B. LHOSPITALET A Equipo,['Mitjana'],13.0,200.0,71.62,23.62,47.46,0.5,3.62,18.69,0.19,13.54,20.69,0.65,18.62,75.23,0.48,95.19,43.9,46.38,20.47,0.28
C.B. LHOSPITALET A Equipo Rival,['Mitjana Rival'],13.0,200.0,72.31,21.0,45.62,0.46,6.31,26.38,0.24,11.38,19.0,0.6,21.69,80.31,0.52,90.04,42.31,42.32,15.81,0.37
CB TARRAGONA Equipo,['Mitjana'],13.0,200.0,65.92,19.85,41.0,0.48,5.77,22.15,0.26,8.92,15.0,0.59,21.38,69.69,0.45,94.59,45.13,44.29,14.13,0.35
CB TARRAGONA Equipo Rival,['Mitjana Rival'],13.0,200.0,83.69,23.54,47.46,0.5,8.08,28.0,0.29,12.38,19.15,0.65,18.46,83.85,0.55,99.82,47.25,46.1,16.41,0.37
JOVENTUT BADALONA A Equipo,['Mitjana'],14.0,200.0,83.43,23.86,44.57,0.54,7.93,23.86,0.33,11.93,18.21,0.65,18.5,76.43,0.52,109.16,52.24,50.46,17.43,0.35
JOVENTUT BADALONA A Equipo Rival,['Mitjana Rival'],14.0,200.0,63.43,17.57,40.79,0.43,6.0,21.21,0.28,10.29,16.5,0.62,19.21,69.21,0.48,91.64,42.86,42.62,16.59,0.34
PRC-PUNTRECARREGACOTXE.CAT JAC SANTS BARCELONA A Equipo,['Mitjana'],14.0,203.57,66.57,19.14,46.93,0.41,4.93,21.07,0.23,13.5,21.86,0.62,22.79,77.57,0.51,85.82,39.02,41.09,19.85,0.31
PRC-PUNTRECARREGACOTXE.CAT JAC SANTS BARCELONA A Equipo Rival,['Mitjana Rival'],14.0,203.57,77.93,22.14,41.36,0.54,6.86,23.5,0.29,13.07,23.57,0.55,21.71,75.21,0.49,103.61,50.0,49.21,20.15,0.36
UE MATARO  HOMS - JAM Equipo,['Mitjana'],14.0,201.79,65.07,16.43,38.93,0.42,6.57,23.07,0.28,12.5,20.29,0.62,22.21,70.86,0.48,91.83,42.4,42.67,20.16,0.37
UE MATARO  HOMS - JAM Equipo Rival,['Mitjana Rival'],14.0,201.79,76.36,20.64,41.93,0.49,6.64,23.93,0.28,15.14,24.21,0.63,21.21,76.5,0.52,99.81,46.48,47.14,22.99,0.36
