Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pilota,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb assist,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC
AD TORREFORTA Equipo,['Mitjana'],2.0,200.0,59.5,15.0,34.5,0.43,7.0,20.5,0.34,8.5,17.5,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,60.0,0.48,99.17,46.36,43.79,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,22.0,55.0,0.4
AD TORREFORTA Equipo Rival,['Mitjana Rival'],2.0,200.0,67.0,17.0,37.5,0.45,8.0,21.5,0.37,9.0,17.5,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,64.0,0.52,104.69,49.15,45.98,15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,25.0,59.0,0.42
BASKET ALMEDA Equipo,['Mitjana'],2.0,200.0,61.0,20.5,40.5,0.51,3.0,19.5,0.15,11.0,19.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.0,0.0,65.5,0.5,93.13,41.67,44.01,18.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,23.5,60.0,0.39
BASKET ALMEDA Equipo Rival,['Mitjana Rival'],2.0,200.0,69.0,16.5,32.5,0.51,6.5,27.0,0.24,16.5,21.5,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,66.0,0.5,104.55,44.12,45.72,27.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,23.0,59.5,0.39
C.B. RIPOLLET A Equipo,['Mitjana'],2.0,200.0,69.5,18.5,37.0,0.5,7.0,22.0,0.32,11.5,21.5,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,65.5,0.53,106.11,49.15,47.69,19.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,25.5,59.0,0.43
C.B. RIPOLLET A Equipo Rival,['Mitjana Rival'],2.0,200.0,56.5,15.0,34.5,0.43,6.0,19.0,0.32,8.5,16.5,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.0,0.0,58.0,0.47,97.41,44.86,43.34,15.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,21.0,53.5,0.39
C.B.CASTELLBISBAL A Equipo,['Mitjana'],2.0,200.0,58.0,13.0,27.0,0.48,8.0,27.5,0.29,8.0,15.5,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,58.5,0.48,99.15,45.87,42.42,14.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,21.0,54.5,0.39
C.B.CASTELLBISBAL A Equipo Rival,['Mitjana Rival'],2.0,200.0,58.0,14.0,36.0,0.39,5.5,20.5,0.27,13.5,24.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,64.0,0.52,90.62,39.38,41.24,23.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,19.5,56.5,0.35
C.E.B. PALLEJA A - TAXILINE Equipo,['Mitjana'],2.0,200.0,55.5,14.5,40.0,0.36,5.0,20.5,0.24,11.5,19.5,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,66.0,0.49,84.09,36.36,38.05,19.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,19.5,60.5,0.32
C.E.B. PALLEJA A - TAXILINE Equipo Rival,['Mitjana Rival'],2.0,200.0,71.0,21.5,40.0,0.54,6.0,23.5,0.26,10.0,19.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,68.5,0.51,103.65,48.03,46.97,15.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,27.5,63.5,0.43
