Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,16.0,201.56,62.69,15.38,39.44,0.39,6.06,23.62,0.26,13.75,21.56,0.64,20.31,69.62,0.49,90.04,38.8,40.36,21.8,0.37
Equip,2 Derrota,12.0,202.08,60.92,16.25,41.42,0.39,4.92,22.25,0.22,13.67,21.42,0.64,19.83,70.08,0.49,86.92,37.11,39.61,21.47,0.35
Equip,2 Victoria,4.0,200.0,68.0,12.75,33.5,0.38,9.5,27.75,0.34,14.0,22.0,0.64,21.75,68.0,0.48,100.0,44.08,42.66,22.86,0.45
Equip,3 Local,8.0,200.0,62.75,14.0,38.25,0.37,7.0,25.62,0.27,13.75,20.88,0.66,21.0,70.12,0.5,89.48,38.36,39.29,21.53,0.4
Equip,3 Visitant,8.0,203.12,62.62,16.75,40.62,0.41,5.12,21.62,0.24,13.75,22.25,0.62,19.62,69.12,0.48,90.6,39.26,41.43,22.09,0.35
Equip,4 Dificil,9.0,202.78,63.89,15.0,37.33,0.4,6.22,24.11,0.26,15.22,23.44,0.65,19.89,68.89,0.49,92.74,39.6,41.58,24.77,0.39
Equip,4 Facil,7.0,200.0,61.14,15.86,42.14,0.38,5.86,23.0,0.25,11.86,19.14,0.62,20.86,70.57,0.49,86.64,37.83,38.82,18.2,0.35
Equip,6 Ultims 3,3.0,36000.0,187.0,49.0,120.0,0.41,17.0,78.0,0.22,38.0,56.0,0.68,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39
Equip Rival,1 Mitjana Rival,16.0,201.56,72.56,17.38,36.69,0.47,8.62,30.56,0.28,11.94,19.81,0.6,21.31,72.88,0.51,99.57,45.07,43.46,17.75,0.45
Equip Rival,2 Derrota Rival,12.0,202.08,76.33,18.0,37.42,0.48,9.5,30.0,0.32,11.83,19.17,0.62,21.0,72.75,0.51,104.93,47.84,45.34,17.55,0.44
Equip Rival,2 Victoria Rival,4.0,200.0,61.25,15.5,34.5,0.45,6.0,32.25,0.19,12.25,21.75,0.56,22.25,73.25,0.52,83.62,36.7,37.83,18.35,0.48
Equip Rival,3 Local Rival,8.0,200.0,68.75,16.25,34.88,0.47,7.88,29.25,0.27,12.62,22.5,0.56,21.25,71.0,0.5,96.83,43.76,42.93,19.69,0.46
Equip Rival,3 Visitant Rival,8.0,203.12,76.38,18.5,38.5,0.48,9.38,31.88,0.29,11.25,17.12,0.66,21.38,74.75,0.52,102.17,46.27,43.92,15.99,0.45
Equip Rival,4 Dificil Rival,9.0,202.78,65.44,16.11,34.89,0.46,7.22,32.22,0.22,11.56,17.56,0.66,22.11,71.78,0.51,91.18,40.15,39.84,17.22,0.48
Equip Rival,4 Facil Rival,7.0,200.0,81.71,19.0,39.0,0.49,10.43,28.43,0.37,12.43,22.71,0.55,20.29,74.29,0.51,110.0,51.38,47.9,18.43,0.42
Equip Rival,6 Ultims 3 Rival,3.0,36000.0,224.0,53.0,114.0,0.46,29.0,88.0,0.33,31.0,47.0,0.66,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
