Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pilota,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb assist,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC
BASQUET SAFA CLAROR A Equipo,['Mitjana'],25.0,202.0,52.24,14.84,42.96,0.35,4.36,20.08,0.22,9.48,16.8,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,70.4,0.5,74.2,33.91,35.33,15.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,19.2,63.04,0.3
BASQUET SAFA CLAROR A Equipo Rival,['Mitjana Rival'],25.0,202.0,68.2,18.16,40.76,0.45,6.12,21.28,0.29,13.52,20.56,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.72,0.0,0.0,71.08,0.5,95.95,44.07,44.89,21.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,24.28,62.04,0.39
C.B. PRAT - MONTIBELLO A Equipo,['Mitjana'],26.0,200.0,52.46,15.5,40.77,0.38,3.58,16.58,0.22,10.73,16.54,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.77,0.0,0.0,64.62,0.49,81.19,36.38,38.89,18.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,19.08,57.35,0.33
C.B. PRAT - MONTIBELLO A Equipo Rival,['Mitjana Rival'],26.0,200.0,58.08,16.96,40.65,0.42,4.08,18.31,0.22,11.92,20.69,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.65,0.0,0.0,68.04,0.51,85.36,39.14,41.39,20.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,21.04,58.96,0.36
CAMPING BIANYA ROSER A Equipo,['Mitjana'],26.0,200.0,59.69,16.08,37.73,0.43,5.27,22.12,0.24,11.73,19.04,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.54,0.0,0.0,68.19,0.52,87.54,40.07,41.27,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,21.35,59.85,0.36
CAMPING BIANYA ROSER A Equipo Rival,['Mitjana Rival'],26.0,200.0,49.04,13.65,36.35,0.38,4.08,19.31,0.21,9.5,14.73,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.04,0.0,0.0,62.12,0.48,78.95,35.52,37.18,17.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,17.73,55.65,0.32
CB GRANOLLERS 1 Equipo,['Mitjana'],25.0,200.0,50.8,14.48,38.24,0.38,3.72,17.96,0.21,10.68,18.88,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.28,0.0,0.0,64.48,0.48,78.78,35.69,38.16,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,18.2,56.2,0.32
CB GRANOLLERS 1 Equipo Rival,['Mitjana Rival'],25.0,200.0,57.16,14.8,40.72,0.36,5.2,21.56,0.24,11.96,19.52,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.48,0.0,0.0,70.84,0.52,80.69,36.29,38.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,20.0,62.28,0.32
CEEB TORDERA UNIGIRONA Equipo,['Mitjana'],26.0,200.0,63.19,19.31,45.12,0.43,3.35,13.96,0.24,14.54,21.46,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.65,0.0,0.0,68.5,0.5,92.25,41.18,44.85,24.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,22.65,59.08,0.38
CEEB TORDERA UNIGIRONA Equipo Rival,['Mitjana Rival'],26.0,200.0,56.5,13.96,36.31,0.38,6.35,24.73,0.26,9.54,14.81,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.27,0.0,0.0,67.54,0.5,83.66,38.47,38.05,15.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,20.31,61.04,0.33
