Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Assist (jugador),Assist (valor),Recuperacions (jugador),Recuperacions (valor),Perd (jugador),Perd (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltes Rebudes (jugador),Faltes Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efec (jugador),% Tir Efec (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesiones No Anotades (jugador),Possesiones No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Puntes per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perd Mal Pase (Jugador),Perd Mal Pase (Valor),Perd Pilota Controlada (jugador),Perd Pilota Controlada (valor),Altres Perd (jugador),Altres Perd (valor),Faltes de Tir (jugador),Faltes de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor)
b'MARC NAVARRO DOMINGUEZ',35.0,b'XAVIER ELVIRA GOMEZ',17.0,b'MARC PALAU GASCON',5.7,b'SERIGNE ABDOU NGUEDD NDOUR',11.62,b'FERRAN FERNANDEZ GIMENEZ',1.0,b'ALBERT GERM DE TRAVY',3.0,b'MARC NAVARRO DOMINGUEZ',8.75,b'JOAN SILVESTRE PIJUAN',0.5,b'SERIGNE ABDOU NGUEDD NDOUR',5.12,b'SERIGNE ABDOU NGUEDD NDOUR',7.62,b'VICTOR SANTERVAS GONZALEZ',1.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'GUILLERMO BELLO MARABE',4.12,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'TON CU FERR',0.0,b'RUBN CALVO TORTAJADA',1.0,b'MARC PALAU GASCON',6.4,b'XAVIER ELVIRA GOMEZ',15.4,b'GONAL BAYARRI SEGURA',0.73
b'GERARD MARSOL ESCOL',34.88,b'SERIGNE ABDOU NGUEDD NDOUR',16.38,b'SERIGNE ABDOU NGUEDD NDOUR',5.62,b'GUILLEM PREZ LAYUNTA',9.1,b'GONAL BAYARRI SEGURA',0.73,b'JUAN JOSE VAZQUEZ NUEZ',2.88,b'ALEX MATENCIO UTIEL',7.6,b'ALBERT VALLVERDU CORTADA',0.5,b'ARNAU CUMELLES CESPEDES',4.3,b'ARNAU CUMELLES CESPEDES',7.5,b'SERGIO FERNANDEZ BAREA',1.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'POL HAGENAERS COS',3.89,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'FERRAN MAS FARR',0.0,b'SERGI ESTANY SANCHEZ',1.0,b'XAVIER ELVIRA GOMEZ',6.4,b'MARC NAVARRO DOMINGUEZ',14.0,b'RUBEN MORALES BUENO',0.65
b'XAVIER ELVIRA GOMEZ',34.3,b'MARC PALAU GASCON',16.2,b'XAVIER ELVIRA GOMEZ',4.7,b'EMMANUEL REYES ROSARIO',8.8,b'POL CAMPRUBI TRUJILLO',0.7,b'ALEX MATENCIO UTIEL',2.4,b'JANIS TOMASCHEK',7.2,b'JOSEP ALEMANY CERVERA',0.5,b'MARC NAVARRO DOMINGUEZ',4.12,b'MARC NAVARRO DOMINGUEZ',6.38,b'XESC PADR CASELLAS',1.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ADRIA RUIZ DE AZUA MALDONADO',3.8,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'ENRIC BUJ FELIX',0.0,b'FERRAN FERNANDEZ GIMENEZ',0.95,b'SERIGNE ABDOU NGUEDD NDOUR',5.62,b'SERIGNE ABDOU NGUEDD NDOUR',12.12,b'XAVIER ARREDONDO FERREIRO',0.64
b'ALBERT GERM DE TRAVY',32.0,b'ALBERT GERM DE TRAVY',15.9,b'RUBEN MORALES BUENO',4.67,b'MARC PALAU GASCON',8.6,b'RUBEN MORALES BUENO',0.7,b'MARC NAVARRO DOMINGUEZ',2.12,b'ERIC MANZANARES IZQUIERDO',7.1,b'JUAN JOSE VAZQUEZ NUEZ',0.5,b'CINTO GABRIEL MORILLA',3.9,b'XAVIER ROQUETA CLARET',6.0,b'SERGI ALGUE BAUSA',1.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'ARNAU GARRABE TOSQUELLA',3.78,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'HERSON MIGUEL LORENZO CRUZ',0.0,b'JUAN JOSE VAZQUEZ NUEZ',0.9,b'ALBERT GERM DE TRAVY',5.6,b'MARC PALAU GASCON',11.8,b'SERGI MARTIN FUENTES',0.58
b'MARC PALAU GASCON',31.1,b'MARC NAVARRO DOMINGUEZ',14.0,b'CINTO GABRIEL MORILLA',4.6,b'XAVIER ELVIRA GOMEZ',8.5,b'ALEX MATENCIO UTIEL',0.67,b'JANIS TOMASCHEK',2.0,b'ALBERT GERM DE TRAVY',7.1,b'MARC FONTANALS MARTIN',0.5,b'ROGER MASDEU ALTES',3.2,b'CINTO GABRIEL MORILLA',5.5,b'BERNAT TRAVERIA SOLA',1.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JOS IGNACIO SILVA VUELTA',3.6,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'JORDI SOBREVIAS BONELLS',0.0,b'PAU VIROS SOLER',0.82,b'RUBEN MORALES BUENO',5.0,b'ARNAU SANAHUJA CARNE',11.8,b'MUSA TRAWALLY SANNEH',0.57
b'SERIGNE ABDOU NGUEDD NDOUR',30.75,b'CINTO GABRIEL MORILLA',13.4,b'GUILLEM PREZ LAYUNTA',4.3,b'CINTO GABRIEL MORILLA',8.4,b'MUSA TRAWALLY SANNEH',0.67,b'POL RIGAT FULCARA',1.9,b'ALBERT CADAFALCH CASANOVAS',6.9,b'JOS IGNACIO SILVA VUELTA',0.5,b'POL RIGAT FULCARA',3.2,b'XAVIER ELVIRA GOMEZ',4.8,b'ERIC MANZANARES IZQUIERDO',1.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'JUAN AYALA MONCAYO',3.4,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'ROGER PORTELLA SANTOLARIA',0.0,b'VICTOR SABARTES CORRAL',0.8,b'FERRAN MAS FARR',4.89,b'MARC OLLE MARTINEZ',11.62,b'POL CAMPRUBI TRUJILLO',0.57
b'CINTO GABRIEL MORILLA',28.5,b'RUBEN MORALES BUENO',13.22,b'FERRAN BELMONTE CABALLOL',4.0,b'FERRAN BELMONTE CABALLOL',8.0,b'ALBERT GERM DE TRAVY',0.67,b'ALEX MOR CEBOLLA',1.9,b'XAVIER ELVIRA GOMEZ',6.9,b'POL CAMPRUBI TRUJILLO',0.48,b'XAVIER ROQUETA CLARET',3.2,b'ARNAU GARRABE TOSQUELLA',4.56,b'BERNAT FARELL SILVA',1.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'MARIO DE LA SEN MARTN',3.3,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'JORDI FORNELLS UR',0.0,b'ALBERT ROMAN PEREZ',0.79,b'CINTO GABRIEL MORILLA',4.7,b'GERARD MARSOL ESCOL',11.5,b'MARC PALAU GASCON',0.54
b'ARNAU CUMELLES CESPEDES',28.4,b'POL RIGAT FULCARA',13.1,b'EMMANUEL REYES ROSARIO',3.9,b'GERARD MARSOL ESCOL',7.75,b'MARC PALAU GASCON',0.66,b'PAU VIROS SOLER',1.8,b'MARC OLLE MARTINEZ',6.5,b'EDUARD MAS FERRE',0.48,b'FRANCESC PLA DE CASACUBERTA',3.2,b'GUILLEM ANDREU MALE',4.5,b'ALEX MOR CEBOLLA',0.9,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'FERRAN ALIAS FERNANDEZ',3.25,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'EDUARD MAS FERRE',0.0,b'ROGER SOLERNOU TESTAGORDA',0.77,b'GUILLEM PREZ LAYUNTA',4.6,b'ALBERT GERM DE TRAVY',11.0,b'MARC FONTANALS MARTIN',0.53
b'GERARD GOMILA CARULLA',27.7,b'ALEX MATENCIO UTIEL',12.7,b'FERRAN MAS FARR',3.78,b'DAVID CASTELLNOU TEIXIDO',7.7,b'ENRIC ALIAGA CHECA',0.66,b'ERIC MANZANARES IZQUIERDO',1.8,b'NIL DEIX RAMIREZ',6.2,b'ALEX MOR CEBOLLA',0.47,b'GUILLEM ANDREU MALE',3.1,b'RUBEN MORALES BUENO',4.33,b'ALBERT GERM DE TRAVY',0.89,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'SERIGNE ABDOU NGUEDD NDOUR',3.25,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'ARNAU CUMELLES CESPEDES',0.0,b'CARLES JORD SANCHEZ',0.77,b'ALEX MATENCIO UTIEL',4.4,b'XAVIER ROQUETA CLARET',11.0,b'CINTO GABRIEL MORILLA',0.53
b'JUAN AYALA MONCAYO',27.7,b'ARNAU CUMELLES CESPEDES',12.7,b'GERARD SOLA BEDMAR',3.7,b'ARNAU CUMELLES CESPEDES',7.6,b'ALBERT MARTIN PUJOL',0.65,b'MARC OLLE MARTINEZ',1.75,b'POL RIGAT FULCARA',6.1,b'MART DOMNGUEZ COLOMINAS',0.46,b'RUBEN MORALES BUENO',2.89,b'MIQUEL PUIG DE GRACIA',4.3,b'ENRIQUE CARRETO ACOSTA',0.86,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'JOAN GARI GARI',3.12,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'ALBERT ILLA VILA',0.0,b'MARCOS OREJAS SERRAMO',0.77,b'ORIOL FONT ORDEIG',4.11,b'PAU ROS FERNANDEZ',10.9,b'ANTHONY ALEGRIA VALENCIA',0.53
