Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Local,Visitant,Victoria,Diferencia
AD TORREFORTA Equipo,Jornada 21,1.0,200.0,59.0,19.0,41.0,0.46,4.0,18.0,0.22,9.0,23.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,AD TORREFORTA,REUS PLOMS SALLE,True,7.0
AD TORREFORTA Equipo,Jornada 22,1.0,200.0,43.0,11.0,34.0,0.32,4.0,20.0,0.2,9.0,12.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,CB CERDANYOLA AL DIA A,AD TORREFORTA,False,-24.0
AD TORREFORTA Equipo Rival,Jornada 01,1.0,200.0,76.0,20.0,37.0,0.54,9.0,22.0,0.41,9.0,17.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,AD TORREFORTA,C.B. RIPOLLET A,True,12.0
AD TORREFORTA Equipo Rival,Jornada 02,1.0,200.0,58.0,14.0,38.0,0.37,7.0,21.0,0.33,9.0,18.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,CLUB NATACIO TERRASSA A,AD TORREFORTA,True,3.0
AD TORREFORTA Equipo Rival,Jornada 03,1.0,200.0,73.0,16.0,36.0,0.44,10.0,32.0,0.31,11.0,17.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,AD TORREFORTA,CLOTET SUZUKI SANT BOI A,True,16.0
AD TORREFORTA Equipo Rival,Jornada 04,1.0,200.0,72.0,15.0,30.0,0.5,10.0,32.0,0.31,12.0,19.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,C.B.CASTELLBISBAL A,AD TORREFORTA,True,20.0
AD TORREFORTA Equipo Rival,Jornada 05,1.0,200.0,75.0,21.0,43.0,0.49,6.0,19.0,0.32,15.0,20.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,C.E.B. PALLEJA A - TAXILINE,AD TORREFORTA,True,12.0
AD TORREFORTA Equipo Rival,Jornada 06,1.0,200.0,59.0,17.0,38.0,0.45,3.0,19.0,0.16,16.0,25.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,AD TORREFORTA,CB TARRAGONA B,True,7.0
AD TORREFORTA Equipo Rival,Jornada 07,1.0,200.0,79.0,17.0,45.0,0.38,10.0,26.0,0.38,15.0,21.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,BASKET ALMEDA,AD TORREFORTA,True,15.0
AD TORREFORTA Equipo Rival,Jornada 08,1.0,200.0,102.0,16.0,37.0,0.43,12.0,35.0,0.34,34.0,46.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,AD TORREFORTA,CLUB NATACIO SABADELL A,True,50.0
