Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pilota,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb assist,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC
CBU LLORET SAMBA HOTELS A Equipo Rival,['Mitjana Rival'],26.0,200.0,68.04,17.12,38.0,0.45,7.35,24.54,0.3,11.77,19.27,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.88,0.0,0.0,71.0,0.5,95.83,44.99,44.13,18.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,24.46,62.54,0.39
CLUB BASQUET CIUTAT VELLA Equipo,['Mitjana'],25.0,194.52,66.24,16.48,37.28,0.44,6.04,23.52,0.26,13.28,21.36,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.04,0.0,0.0,70.16,0.5,94.41,42.01,43.03,21.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,22.52,60.8,0.37
CLUB BASQUET CIUTAT VELLA Equipo Rival,['Mitjana Rival'],25.0,200.0,66.04,15.84,37.88,0.42,6.08,20.84,0.29,16.08,25.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.44,0.0,0.0,69.72,0.5,94.72,42.51,44.6,27.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,21.92,58.72,0.37
EL MASNOU BASQUETBOL Equipo,['Mitjana'],26.0,200.12,71.62,15.85,33.04,0.48,9.04,31.46,0.29,12.54,20.69,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.69,0.0,0.0,73.58,0.51,97.33,45.59,43.8,19.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,24.88,64.5,0.39
EL MASNOU BASQUETBOL Equipo Rival,['Mitjana Rival'],26.0,194.81,65.08,16.77,37.85,0.44,5.88,23.35,0.25,11.69,18.69,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.69,0.0,0.0,69.38,0.49,93.79,41.83,42.35,19.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,22.65,61.19,0.37
JAC SANTS BARCELONA -CASMAR Equipo,['Mitjana'],25.0,201.0,69.92,18.44,41.12,0.45,6.24,21.72,0.29,14.32,24.44,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.52,0.0,0.0,73.56,0.52,95.05,44.24,45.14,22.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,24.68,62.84,0.39
JAC SANTS BARCELONA -CASMAR Equipo Rival,['Mitjana Rival'],25.0,196.6,63.6,17.36,39.28,0.44,5.88,22.28,0.26,9.84,16.68,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.52,0.0,0.0,68.88,0.48,92.33,42.53,42.19,15.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,23.24,61.56,0.38
MARISTES ADEMAR Equipo,['Mitjana'],26.0,196.73,63.85,16.62,36.23,0.46,5.62,21.81,0.26,12.46,19.81,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73,0.0,0.0,66.73,0.49,95.68,43.14,44.06,21.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,22.23,58.04,0.38
MARISTES ADEMAR Equipo Rival,['Mitjana Rival'],26.0,200.96,66.42,17.04,37.38,0.46,6.73,24.12,0.28,12.15,21.04,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.96,0.0,0.0,70.73,0.51,93.91,44.12,43.89,19.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,23.77,61.5,0.39
TEMPLE - U.E. HORTA A Equipo,['Mitjana'],26.0,194.81,64.19,16.15,36.12,0.45,6.08,23.88,0.25,11.46,19.69,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.73,0.0,0.0,68.65,0.5,93.5,42.12,42.33,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,22.23,60.0,0.37
TEMPLE - U.E. HORTA A Equipo Rival,['Mitjana Rival'],26.0,199.88,71.23,16.77,35.31,0.47,7.23,23.42,0.31,15.73,24.69,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.04,0.0,0.0,69.58,0.5,102.38,47.02,47.48,26.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,24.0,58.73,0.41
U.E. CLARET A Equipo,['Mitjana'],26.0,200.96,64.19,15.46,36.23,0.43,7.0,23.88,0.29,12.27,21.65,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.12,0.0,0.0,69.62,0.51,92.21,43.19,42.89,20.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,22.46,60.12,0.37
U.E. CLARET A Equipo Rival,['Mitjana Rival'],26.0,200.96,61.77,14.31,31.92,0.45,6.54,26.46,0.25,13.54,21.46,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.58,0.0,0.0,67.81,0.49,91.09,41.3,42.2,23.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,20.85,58.38,0.36
UE MATARO  TC Equipo,['Mitjana'],25.0,202.0,68.96,18.48,39.56,0.47,6.56,23.8,0.28,12.32,21.08,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.44,0.0,0.0,72.6,0.49,94.99,44.7,44.6,19.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,25.04,63.36,0.4
UE MATARO  TC Equipo Rival,['Mitjana Rival'],25.0,202.0,71.04,18.88,41.76,0.45,6.52,22.4,0.29,13.72,23.16,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.36,0.0,0.0,74.32,0.51,95.59,44.67,45.11,21.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,25.4,64.16,0.4
UE.MONTGAT - A Equipo,['Mitjana'],26.0,202.88,75.31,17.08,36.19,0.47,9.35,28.92,0.32,13.08,20.27,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.81,0.0,0.0,74.0,0.5,101.77,47.76,45.76,20.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,26.42,65.12,0.41
UE.MONTGAT - A Equipo Rival,['Mitjana Rival'],26.0,202.88,70.04,18.96,40.81,0.46,6.31,24.62,0.26,13.19,19.69,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.08,0.0,0.0,74.08,0.5,94.55,43.45,44.05,20.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,25.27,65.42,0.39
