Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Local,Visitant,Victoria,Diferencia
A.E.S.E. A Equipo,Jornada 01,1.0,200.0,50.0,10.0,33.0,0.3,5.0,17.0,0.29,15.0,20.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,A.E.S.E. A,U.E. CLARET A,False,-6.0
A.E.S.E. A Equipo Rival,Jornada 01,1.0,200.0,56.0,12.0,33.0,0.36,9.0,24.0,0.38,5.0,15.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,U.E. CLARET A,A.E.S.E. A,True,6.0
AE MINGUELLA A-DRIVIM Equipo,Jornada 01,1.0,200.0,54.0,13.0,27.0,0.48,5.0,27.0,0.19,13.0,19.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,U.E. CLARET A,AE MINGUELLA A-DRIVIM,False,-14.0
AE MINGUELLA A-DRIVIM Equipo,Jornada 02,1.0,200.0,64.0,14.0,33.0,0.42,8.0,26.0,0.31,12.0,19.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,AE MINGUELLA A-DRIVIM,CBU LLORET SAMBA HOTELS A,True,5.0
AE MINGUELLA A-DRIVIM Equipo Rival,Jornada 01,1.0,200.0,68.0,12.0,36.0,0.33,9.0,24.0,0.38,17.0,27.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,AE MINGUELLA A-DRIVIM,U.E. CLARET A,True,14.0
AE MINGUELLA A-DRIVIM Equipo Rival,Jornada 02,1.0,200.0,59.0,14.0,33.0,0.42,6.0,25.0,0.24,13.0,17.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,CBU LLORET SAMBA HOTELS A,AE MINGUELLA A-DRIVIM,False,-5.0
AEC COLLBLANC - ITACA Equipo,Jornada 01,1.0,200.0,55.0,15.0,44.0,0.34,5.0,21.0,0.24,10.0,19.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,EL MASNOU BASQUETBOL,AEC COLLBLANC - ITACA,False,-31.0
AEC COLLBLANC - ITACA Equipo,Jornada 01,1.0,200.0,69.0,12.0,28.0,0.43,8.0,23.0,0.35,21.0,28.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,AEC COLLBLANC - ITACA,TEMPLE - U.E. HORTA A,True,8.0
AEC COLLBLANC - ITACA Equipo Rival,Jornada 01,1.0,200.0,86.0,24.0,40.0,0.6,9.0,33.0,0.27,11.0,15.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,AEC COLLBLANC - ITACA,EL MASNOU BASQUETBOL,True,31.0
AEC COLLBLANC - ITACA Equipo Rival,Jornada 01,1.0,200.0,61.0,16.0,32.0,0.5,5.0,29.0,0.17,14.0,26.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,TEMPLE - U.E. HORTA A,AEC COLLBLANC - ITACA,False,-8.0
