Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Assist (jugador),Assist (valor),Recuperacions (jugador),Recuperacions (valor),Perd (jugador),Perd (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltes Rebudes (jugador),Faltes Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efec (jugador),% Tir Efec (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesiones No Anotades (jugador),Possesiones No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Puntes per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perd Mal Pase (Jugador),Perd Mal Pase (Valor),Perd Pilota Controlada (jugador),Perd Pilota Controlada (valor),Altres Perd (jugador),Altres Perd (valor),Faltes de Tir (jugador),Faltes de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor)
b'SERGI PIERO GARCIA',33.2,b'IZAN VILLAR CANTERO',17.6,b'IGNASI PALLARES ARUMI',5.67,b'IGNASI PALLARES ARUMI',9.89,b'AMOS OYIBOKE OSIFOR',0.76,b'MARCEL PARS VILASECA',2.9,b'XAVIER BLANCO MART',8.11,b'WILLIAM ERIK AHLBERG',0.56,b'GUILLEM CANALETA BENET',6.33,b'JOSEP ARMENGOL ROYO',8.0,b'JORDI BERTRAN DIAZ',1.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'JOSEP ARMENGOL ROYO',4.1,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ARNAU NAVAS CARNERERO',0.0,b'ALBERT GARCIA ROS',0.89,b'IGNASI PALLARES ARUMI',6.11,b'IZAN VILLAR CANTERO',15.8,b'AMOS OYIBOKE OSIFOR',0.76
b'JOAQUIM FRANCH DE PABLO',30.4,b'MART MARTORI FIGUEREDO',16.5,b'MART MARTORI FIGUEREDO',5.2,b'MART MARTORI FIGUEREDO',9.8,b'NICOLS HUMBERT MARTN',0.75,b'XAVIER BLANCO MART',2.56,b'MARCEL PARS VILASECA',7.4,b'ADRIA VERDAGUER MATAS',0.52,b'PAU CARRIN SORIANO',4.7,b'GUILLEM CANALETA BENET',7.44,b'ADRIA ARQUE GASQUEZ',1.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'GUILLEM PRAT SERRA',4.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.0,b'PERE VIETA CUBI',0.83,b'IZAN VILLAR CANTERO',6.0,b'GUILLEM DIAZ CABANAS',12.5,b'NICOLS HUMBERT MARTN',0.62
b'JOSEP ARMENGOL ROYO',30.3,b'GUILLEM CANALETA BENET',15.22,b'DENZEL NATHANIEL PORTER',4.2,b'VICTOR CARRETERO BACH',9.56,b'FERRAN MAS FARR',0.71,b'GEORG SIMON HERODES',2.14,b'IZAN VILLAR CANTERO',7.1,b'ADRIA OLVERA GIMENEZ',0.5,b'EDUARD MAS FERRE',4.1,b'PAU CARRIN SORIANO',6.6,b'ADRIA OLVERA GIMENEZ',0.9,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'XAVIER LLUCH DEZ',3.6,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'JORDI BERTRAN DIAZ',0.0,b'GEORG SIMON HERODES',0.82,b'MART MARTORI FIGUEREDO',5.9,b'MART MARTORI FIGUEREDO',12.3,b'BIEL VINYET RIERA',0.61
b'MART MARTORI FIGUEREDO',30.1,b'POL CAMPENY LLOVERAS',14.89,b'VICTOR CARRETERO BACH',4.11,b'GUILLEM CANALETA BENET',9.11,b'JORDI SNCHEZ SORIANO',0.68,b'WILLIAM ERIK AHLBERG',2.0,b'ADRIA ARQUE GASQUEZ',7.0,b'JOEL PENINA CORRIOLS',0.5,b'MART MARTORI FIGUEREDO',4.0,b'MART MARTORI FIGUEREDO',5.9,b'TOMS GARCIA NAVARRO',0.89,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'MARC VICTOR VANCEA',3.56,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'SOULEYMANE SOW',0.0,b'FERRAN FERNANDEZ GIMENEZ',0.82,b'POL CAMPENY LLOVERAS',4.78,b'POL CAMPENY LLOVERAS',12.22,b'IGNACIO AMAN',0.59
b'GUILLEM CANALETA BENET',28.56,b'IGNASI PALLARES ARUMI',14.56,b'GUILLEM CANALETA BENET',4.11,b'FERRAN ARQUES LOPEZ',9.0,b'FERRAN FERNANDEZ GIMENEZ',0.67,b'IZAN VILLAR CANTERO',1.9,b'JAVIER VICENTE NIETO',6.5,b'XAVIER LLUCH DEZ',0.5,b'JOSEP ARMENGOL ROYO',4.0,b'JOAN PONS MONTERO',5.8,b'CARLES REYNALS RODRIGUEZ',0.86,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'MARAL AZCONA BLAZQUEZ',3.5,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'SEAN GALINDO HERASME',0.0,b'NICOLAS EDUARDO LUS HAHNEISER',0.8,b'DENZEL NATHANIEL PORTER',4.7,b'XAVIER BLANCO MART',12.0,b'MARAL AZCONA BLAZQUEZ',0.59
b'GUILLEM DIAZ CABANAS',27.9,b'XAVIER BLANCO MART',14.22,b'FERRAN ARQUES LOPEZ',4.11,b'IZAN VILLAR CANTERO',8.7,b'HECTOR AZA GAY',0.62,b'JAVIER VICENTE NIETO',1.9,b'RODRIGO PASCUAL CONTEL',6.0,b'SERGI ROURERA LLAURADO',0.48,b'POL CAMPENY LLOVERAS',3.89,b'JOAQUIM FRANCH DE PABLO',5.7,b'ADRIA VERDAGUER MATAS',0.86,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'CESAR GMEZ ORELLANA',3.44,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'IGNACIO SAINZ MORALES',0.0,b'JAVIER VICENTE NIETO',0.79,b'ALEX RIERA PERETO',4.5,b'IGNASI PALLARES ARUMI',11.0,b'MARC VICTOR VANCEA',0.59
b'MARCEL PARS VILASECA',27.2,b'ALEX RIERA PERETO',12.5,b'XAVIER LLUCH DEZ',4.1,b'TON PRAT FERRAZ',8.67,b'BIEL VINYET RIERA',0.61,b'RODRIGO PASCUAL CONTEL',1.78,b'POL CAMPENY LLOVERAS',5.89,b'VCTOR DIAZ GMEZ',0.45,b'SERGI ROURERA LLAURADO',3.75,b'IZAN VILLAR CANTERO',5.6,b'PAU MARTINEZ MARTINEZ',0.85,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'GUILLEM ANDREU MALE',3.44,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'LLUS MARTN LLAVERA',0.0,b'MARCEL PARS VILASECA',0.78,b'GUILLEM DIAZ CABANAS',4.4,b'GUILLEM CANALETA BENET',10.56,b'MARC GILABERT GALLARDO',0.57
b'FRANCO ROMAN BADAMI',27.0,b'PAU CARRIN SORIANO',12.2,b'IZAN VILLAR CANTERO',4.1,b'DENZEL NATHANIEL PORTER',8.5,b'MARC GILABERT GALLARDO',0.6,b'EDUARD COLL COMABELLA',1.78,b'LLUS MARTN LLAVERA',5.83,b'GEORG SIMON HERODES',0.45,b'IZAN VILLAR CANTERO',3.7,b'EDUARD MAS FERRE',5.5,b'GUILLEM CANALETA BENET',0.85,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'NIL FARRE FLORES',3.44,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'SERGI PIERO GARCIA',0.0,b'CARLES JORD SANCHEZ',0.78,b'XAVIER BLANCO MART',4.33,b'VICTOR CARRETERO BACH',10.44,b'XAVIER LLUCH DEZ',0.56
b'XAVIER BLANCO MART',26.89,b'JOAQUIM FRANCH DE PABLO',12.1,b'TON PRAT FERRAZ',3.89,b'KINGSLEY CHUKWUGOZIE',8.5,b'IGNACIO AMAN',0.6,b'ADRIA ARQUE GASQUEZ',1.71,b'LLUIS DE QUINTANA BECH',5.7,b'CESAR GMEZ ORELLANA',0.44,b'PEP MESAS DIAZ',3.6,b'PEP MESAS DIAZ',5.5,b'XAVIER GARCIA FERNANDEZ',0.83,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'ARNAU JANER PUIG',3.38,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'TON PRAT FERRAZ',0.0,b'ADRIA VILAGRAN GONZALEZ',0.76,b'FERRAN ARQUES LOPEZ',4.33,b'FERRAN ARQUES LOPEZ',10.44,b'JOSEP MARIA OJEDA VIRALTA',0.56
b'AARON ZIGA FORNELLS',26.8,b'FERRAN ARQUES LOPEZ',11.89,b'IGNACIO AMAN',3.8,b'SERGI ORS ANDREU',8.0,b'MARC VICTOR VANCEA',0.6,b'SERGI ROURERA LLAURADO',1.62,b'ERIC MANZANARES IZQUIERDO',5.56,b'ADRIA RIVAS POMEROL',0.44,b'JOAN PONS MONTERO',3.4,b'POL CAMPENY LLOVERAS',5.33,b'JOAN BALADA CARMONA',0.83,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'LLUIS SOLER GARCIA',3.3,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'IZAN VILLAR CANTERO',0.0,b'SERGI ALGUE BAUSA',0.76,b'VICTOR CARRETERO BACH',4.33,b'ALEX RIERA PERETO',10.4,b'ROGER DALET CASALPRIM',0.56
