Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pilota,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb assist,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC
AE MINGUELLA A-DRIVIM Equipo,['Mitjana'],1.0,200.0,54.0,13.0,27.0,0.48,5.0,27.0,0.19,13.0,19.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,62.0,0.47,87.1,37.96,40.33,24.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,18.0,54.0,0.33
AE MINGUELLA A-DRIVIM Equipo Rival,['Mitjana Rival'],1.0,200.0,68.0,12.0,36.0,0.33,9.0,24.0,0.38,17.0,27.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,71.0,0.53,95.77,42.5,42.82,28.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,21.0,60.0,0.35
AEC COLLBLANC - ITACA Equipo,['Mitjana'],1.0,200.0,69.0,12.0,28.0,0.43,8.0,23.0,0.35,21.0,28.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,63.0,0.47,109.52,47.06,49.04,41.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,20.0,51.0,0.39
AEC COLLBLANC - ITACA Equipo Rival,['Mitjana Rival'],1.0,200.0,61.0,16.0,32.0,0.5,5.0,29.0,0.17,14.0,26.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,72.0,0.53,84.72,38.52,40.87,22.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,21.0,61.0,0.34
CB BESCANO Equipo,['Mitjana'],1.0,225.0,80.0,20.0,44.0,0.45,9.0,29.0,0.31,13.0,19.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,81.0,0.52,98.77,45.89,44.47,17.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,29.0,73.0,0.4
CB BESCANO Equipo Rival,['Mitjana Rival'],1.0,225.0,88.0,18.0,33.0,0.55,10.0,30.0,0.33,22.0,26.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,74.0,0.48,118.92,52.38,51.98,34.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,28.0,63.0,0.44
CBU LLORET SAMBA HOTELS A Equipo,['Mitjana'],1.0,200.0,65.0,16.0,32.0,0.5,5.0,35.0,0.14,18.0,29.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,79.0,0.52,82.28,35.07,39.35,26.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,21.0,67.0,0.31
CBU LLORET SAMBA HOTELS A Equipo Rival,['Mitjana Rival'],1.0,200.0,75.0,18.0,32.0,0.56,8.0,29.0,0.28,15.0,25.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,72.0,0.48,104.17,49.18,48.45,24.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,26.0,61.0,0.43
EL MASNOU BASQUETBOL Equipo,['Mitjana'],1.0,200.0,75.0,18.0,32.0,0.56,8.0,29.0,0.28,15.0,25.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,72.0,0.48,104.17,49.18,48.45,24.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,26.0,61.0,0.43
EL MASNOU BASQUETBOL Equipo Rival,['Mitjana Rival'],1.0,200.0,65.0,16.0,32.0,0.5,5.0,35.0,0.14,18.0,29.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,79.0,0.52,82.28,35.07,39.35,26.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,21.0,67.0,0.31
