Minutos (jugador),Minutos (valor),Puntos (jugador),Puntos (valor),T2 Anotados (jugador),T2 Anotados (valor),T2 Lanzados (jugador),T2 Lanzados (valor),% T2 (jugador),% T2 (valor),T3 Anotados (jugador),T3 Anotados (valor),T3 Lanzados (jugador),T3 Lanzados (valor),% T3 (jugador),% T3 (valor),T1 Anotados (jugador),T1 Anotados (valor),T1 Lanzados (jugador),T1 Lanzados (valor),% T1 (jugador),% T1 (valor),Reb. Ofensivos (jugador),Reb. Ofensivos (valor),Reb. Defensivos (jugador),Reb. Defensivos (valor),Rebotes (jugador),Rebotes (valor),Asistencias (jugador),Asistencias (valor),Robos (jugador),Robos (valor),Perdidas (jugador),Perdidas (valor),Tapones (jugador),Tapones (valor),Tapones Recibidos (jugador),Tapones Recibidos (valor),Mates (jugador),Mates (valor),Faltas Cometidas (jugador),Faltas Cometidas (valor),Faltas Recibidas (jugador),Faltas Recibidas (valor),Valoracion (jugador),Valoracion (valor),% Asist (jugador),% Asist (valor),% Tiro Efectivo (jugador),% Tiro Efectivo (valor),% Tiro Verdadero (jugador),% True Shooting (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Posesiones Anotadas (jugador),Posesiones Anotadas (valor),Posesiones No Anotadas (jugador),Posesiones No Anotadas (valor),Floor Percentage (jugador),Floor Percentage (valor),Puntos por Tiro (jugador),Puntos por Tiro (valor),% Rebotes (jugador),% Rebotes (valor),% Rebotes Def (jugador),% Rebotes Def (valor),% Rebotes Of (jugador),% Rebotes Of (valor),% Robos (jugador),% Robos (valor),Toques (jugador),Toques (valor),Uso (jugador),Uso (valor),Versatilidad (jugador),Versatilidad (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Pérdidas Mal Pase (Jugador),Pérdidas Mal Pase (Valor),Perdidas Balón Controlado (jugador),Perdidas Balón Controlado (valor),Otras Perdidas (jugador),Otras Perdidas (valor),Faltas de Tiro (jugador),Faltas de Tiro (valor),Faltas No de Tiro (jugador),Faltas No de Tiro (valor),Técnicas (jugador),Técnicas (valor),Antideportivas (jugador),Antideportivas (valor),Ofensivas (jugador),Ofensivas (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor)
ALEIX SABALETE PASCUAL,0.0,MIGUEL ANGEL GONZLEZ LPEZ,14.0,ARNAU BERZOSA MART,3.0,DAVID MICHAEL KING,4.67,ARNAU NOLLA DEL VALLE,1.0,MIGUEL ANGEL GONZLEZ LPEZ,2.67,MIGUEL ANGEL GONZLEZ LPEZ,6.67,ARNAU NOLLA DEL VALLE,0.6,MIGUEL ANGEL GONZLEZ LPEZ,4.0,MIGUEL ANGEL GONZLEZ LPEZ,6.0,ALEJANDRO CALVO SANCHEZ,1.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,MIGUEL ANGEL GONZLEZ LPEZ,3.67,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0,ALEIX SABALETE PASCUAL,0.0
ALEJANDRO CALVO SANCHEZ,0.0,TOMS KOHAN LPEZ,11.33,JOAN SOROLLA MENASANCH,3.0,JOAN SOROLLA MENASANCH,4.33,ARNAU BERZOSA MART,0.82,TOMS KOHAN LPEZ,2.0,ADRI NOLLA DEL VALLE,5.0,TOMS KOHAN LPEZ,0.5,JOAN SOROLLA MENASANCH,2.33,JOAN SOROLLA MENASANCH,4.67,DAVID NAVAS ROJO,1.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,DAVID NAVAS ROJO,3.5,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0,ALEJANDRO CALVO SANCHEZ,0.0
DAVID MICHAEL KING,0.0,ARNAU BERZOSA MART,8.33,DAVID MICHAEL KING,2.33,ARNAU BERZOSA MART,3.67,JOAN SOROLLA MENASANCH,0.69,ADRI NOLLA DEL VALLE,1.67,TOMS KOHAN LPEZ,4.0,MIGUEL ANGEL GONZLEZ LPEZ,0.4,TOMS KOHAN LPEZ,2.0,TOMS KOHAN LPEZ,2.67,ADRI NOLLA DEL VALLE,1.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,JOAN SOROLLA MENASANCH,3.33,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0,DAVID MICHAEL KING,0.0
MARC VIDALLER DOMENECH,0.0,JOAN SOROLLA MENASANCH,8.33,ALBERTO CLAVERAS FERNNDEZ,2.0,TOMS KOHAN LPEZ,3.67,ADRI NOLLA DEL VALLE,0.67,ARNAU NOLLA DEL VALLE,1.0,ARNAU BERZOSA MART,3.67,ADRI NOLLA DEL VALLE,0.33,DAVID MICHAEL KING,1.67,DAVID MICHAEL KING,2.0,DAVID FLORES CABRERA,1.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,DAVID MICHAEL KING,3.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0,MARC VIDALLER DOMENECH,0.0
DAVID NAVAS ROJO,0.0,ADRI NOLLA DEL VALLE,7.33,TOMS KOHAN LPEZ,1.67,MIGUEL ANGEL GONZLEZ LPEZ,3.67,ALBERTO CLAVERAS FERNNDEZ,0.6,ARNAU BERZOSA MART,0.67,DAVID NAVAS ROJO,3.0,ARNAU BERZOSA MART,0.18,DAVID NAVAS ROJO,1.0,ARNAU BERZOSA MART,1.67,DAVID MICHAEL KING,0.83,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID FLORES CABRERA,2.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0,DAVID NAVAS ROJO,0.0
ADRI NOLLA DEL VALLE,0.0,DAVID MICHAEL KING,6.33,DAVID NAVAS ROJO,1.0,DAVID NAVAS ROJO,3.5,DAVID MICHAEL KING,0.5,DAVID NAVAS ROJO,0.5,ALBERTO CLAVERAS FERNNDEZ,2.0,DAVID NAVAS ROJO,0.17,ADRI NOLLA DEL VALLE,1.0,DAVID NAVAS ROJO,1.0,TOMS KOHAN LPEZ,0.75,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,2.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0,ADRI NOLLA DEL VALLE,0.0
ALBERTO CLAVERAS FERNNDEZ,0.0,DAVID NAVAS ROJO,4.5,DAVID FLORES CABRERA,1.0,ALBERTO CLAVERAS FERNNDEZ,3.33,DAVID FLORES CABRERA,0.5,ALEIX SABALETE PASCUAL,0.0,MARC VIDALLER DOMENECH,1.67,ALEIX SABALETE PASCUAL,0.0,ALEJANDRO CALVO SANCHEZ,0.67,ADRI NOLLA DEL VALLE,1.0,MIGUEL ANGEL GONZLEZ LPEZ,0.67,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ADRI NOLLA DEL VALLE,1.67,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0,ALBERTO CLAVERAS FERNNDEZ,0.0
DAVID FLORES CABRERA,0.0,ARNAU NOLLA DEL VALLE,4.33,MIGUEL ANGEL GONZLEZ LPEZ,1.0,DAVID FLORES CABRERA,2.0,TOMS KOHAN LPEZ,0.45,ALEJANDRO CALVO SANCHEZ,0.0,ARNAU NOLLA DEL VALLE,1.67,ALEJANDRO CALVO SANCHEZ,0.0,DAVID FLORES CABRERA,0.67,ALEJANDRO CALVO SANCHEZ,0.67,MARC VIDALLER DOMENECH,0.5,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,ARNAU BERZOSA MART,1.67,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0,DAVID FLORES CABRERA,0.0
ARNAU BERZOSA MART,0.0,ALBERTO CLAVERAS FERNNDEZ,4.0,ADRI NOLLA DEL VALLE,0.67,MARC VIDALLER DOMENECH,1.67,DAVID NAVAS ROJO,0.29,DAVID MICHAEL KING,0.0,DAVID FLORES CABRERA,0.33,DAVID MICHAEL KING,0.0,MARC VIDALLER DOMENECH,0.33,MARC VIDALLER DOMENECH,0.67,JOAN SOROLLA MENASANCH,0.5,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,MARC VIDALLER DOMENECH,1.33,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0,ARNAU BERZOSA MART,0.0
ARNAU NOLLA DEL VALLE,0.0,DAVID FLORES CABRERA,2.67,ARNAU NOLLA DEL VALLE,0.67,ADRI NOLLA DEL VALLE,1.0,MIGUEL ANGEL GONZLEZ LPEZ,0.27,MARC VIDALLER DOMENECH,0.0,JOAN SOROLLA MENASANCH,0.33,MARC VIDALLER DOMENECH,0.0,ARNAU BERZOSA MART,0.33,DAVID FLORES CABRERA,0.67,ARNAU BERZOSA MART,0.2,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ALBERTO CLAVERAS FERNNDEZ,1.33,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0,ARNAU NOLLA DEL VALLE,0.0
