Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pilota,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb assist,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC
AD TORREFORTA Equipo,['Mitjana'],3.0,200.0,58.67,14.33,34.0,0.42,6.67,21.33,0.31,10.0,18.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.33,0.0,0.0,60.67,0.48,96.7,43.98,42.82,18.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,21.0,55.33,0.38
AD TORREFORTA Equipo Rival,['Mitjana Rival'],3.0,200.0,69.0,16.67,37.0,0.45,8.67,25.0,0.35,9.67,17.33,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.33,0.0,0.0,66.67,0.52,103.5,47.85,44.84,15.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,25.33,62.0,0.41
BASKET ALMEDA Equipo,['Mitjana'],3.0,200.0,61.0,18.33,37.67,0.49,5.0,23.67,0.21,9.33,17.67,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,66.33,0.48,91.96,42.12,42.15,15.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,23.33,61.33,0.38
BASKET ALMEDA Equipo Rival,['Mitjana Rival'],3.0,200.0,74.67,19.33,37.0,0.52,6.67,27.0,0.25,16.0,23.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.33,0.0,0.0,71.0,0.52,105.16,45.83,46.92,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,26.0,64.0,0.41
C.B. RIPOLLET A Equipo,['Mitjana'],3.0,200.0,69.0,20.0,41.0,0.49,5.33,20.33,0.26,13.0,23.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.67,0.0,0.0,68.33,0.53,100.98,45.65,46.49,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,25.33,61.33,0.41
C.B. RIPOLLET A Equipo Rival,['Mitjana Rival'],3.0,200.0,62.67,14.33,34.33,0.42,7.33,21.0,0.35,12.0,19.33,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.33,0.0,0.0,61.0,0.47,102.73,45.78,44.85,21.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,21.67,55.33,0.39
C.B.CASTELLBISBAL A Equipo,['Mitjana'],3.0,200.0,59.0,13.0,28.67,0.45,8.0,26.67,0.3,9.0,14.67,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.33,0.0,0.0,59.0,0.47,100.0,45.18,42.47,16.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,21.0,55.33,0.38
C.B.CASTELLBISBAL A Equipo Rival,['Mitjana Rival'],3.0,200.0,65.67,17.0,38.67,0.44,5.33,18.67,0.29,15.67,25.33,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,65.67,0.53,100.0,43.6,45.94,27.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,22.33,57.33,0.39
C.E.B. PALLEJA A - TAXILINE Equipo,['Mitjana'],3.0,200.0,51.33,13.0,37.67,0.35,4.0,19.0,0.21,13.33,22.67,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.67,0.0,0.0,63.67,0.49,80.63,33.53,37.32,23.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,17.0,56.67,0.3
C.E.B. PALLEJA A - TAXILINE Equipo Rival,['Mitjana Rival'],3.0,200.0,68.67,20.0,39.0,0.51,6.67,22.33,0.3,8.67,18.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.67,0.0,0.0,66.33,0.51,103.52,48.91,46.59,14.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,26.67,61.33,0.43
