Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
BASQUET MOLINS Equipo,['Mitjana'],5.0,200.0,58.6,15.0,39.2,0.38,5.6,21.0,0.27,11.8,18.4,0.64,21.4,65.4,0.47,89.6,38.87,39.98,19.6,0.35
BASQUET MOLINS Equipo Rival,['Mitjana Rival'],5.0,200.0,65.6,15.8,37.2,0.42,6.4,28.8,0.22,14.8,23.4,0.63,20.8,73.2,0.53,89.62,38.48,40.2,22.42,0.44
C.B.CASTELLAR A Equipo,['Mitjana'],6.0,200.0,68.0,12.67,27.17,0.47,11.33,33.83,0.33,8.67,14.67,0.59,22.5,64.67,0.47,105.15,48.63,43.2,14.21,0.55
C.B.CASTELLAR A Equipo Rival,['Mitjana Rival'],6.0,200.0,73.17,18.33,38.33,0.48,7.5,26.17,0.29,14.0,24.17,0.58,19.67,72.0,0.53,101.62,45.87,45.56,21.71,0.41
CB IPSI A Equipo,['Mitjana'],6.0,200.0,75.83,16.0,37.33,0.43,8.33,29.67,0.28,18.83,31.17,0.6,25.17,77.33,0.52,98.06,42.54,43.85,28.11,0.44
CB IPSI A Equipo Rival,['Mitjana Rival'],6.0,200.0,73.67,17.33,38.5,0.45,7.83,25.17,0.31,15.5,25.67,0.6,26.0,71.83,0.48,102.55,45.68,45.75,24.35,0.4
CLUB NATACIO SABADELL A Equipo,['Mitjana'],6.0,200.0,72.33,16.17,38.83,0.42,8.67,26.83,0.32,14.0,20.33,0.69,25.5,71.5,0.52,101.17,44.42,43.6,21.32,0.41
CLUB NATACIO SABADELL A Equipo Rival,['Mitjana Rival'],6.0,200.0,67.33,16.33,33.67,0.49,4.83,22.5,0.21,20.17,30.5,0.66,23.17,66.67,0.48,101.0,41.99,46.76,35.91,0.4
CLUB NATACIO TERRASSA A Equipo,['Mitjana'],6.0,200.0,57.0,16.17,38.67,0.42,5.0,19.67,0.25,9.67,16.67,0.58,22.83,63.0,0.49,90.48,40.57,41.01,16.57,0.34
CLUB NATACIO TERRASSA A Equipo Rival,['Mitjana Rival'],6.0,200.0,60.33,15.0,35.67,0.42,5.33,22.5,0.24,14.33,23.17,0.62,17.67,65.5,0.51,92.11,39.54,41.9,24.64,0.39
COCHESINTERNET.NET CB ALPICAT Equipo,['Mitjana'],6.0,200.0,72.5,19.5,40.67,0.48,7.0,24.5,0.29,12.5,23.0,0.54,24.33,72.17,0.51,100.46,46.04,45.43,19.18,0.38
COCHESINTERNET.NET CB ALPICAT Equipo Rival,['Mitjana Rival'],6.0,200.0,63.0,13.83,36.0,0.38,6.83,27.17,0.25,14.83,24.0,0.62,20.5,70.67,0.49,89.15,38.13,39.67,23.48,0.43
GRUP VIA - CB ARTES Equipo,['Mitjana'],6.0,200.0,70.83,15.5,31.83,0.49,9.17,28.0,0.33,12.33,20.83,0.59,21.0,66.17,0.48,107.05,48.89,46.38,20.61,0.47
GRUP VIA - CB ARTES Equipo Rival,['Mitjana Rival'],6.0,200.0,60.17,17.5,45.67,0.38,4.5,21.0,0.21,11.67,20.0,0.58,19.33,72.33,0.52,83.18,36.38,38.32,17.5,0.32
LA SALLE MANRESA S.GOL Equipo,['Mitjana'],6.0,200.0,73.5,18.5,36.83,0.5,8.17,27.0,0.3,12.0,18.67,0.64,21.5,69.0,0.5,106.52,48.17,46.54,18.8,0.42
LA SALLE MANRESA S.GOL Equipo Rival,['Mitjana Rival'],6.0,200.0,67.67,18.67,42.83,0.44,6.33,22.0,0.29,11.33,18.17,0.62,20.33,69.83,0.5,96.9,43.44,43.33,17.48,0.34
LLUISOS DE GRACIA A - VERDI SUBMINISTRAMENTS Equipo,['Mitjana'],6.0,200.0,61.83,15.17,37.17,0.41,5.0,21.83,0.23,16.5,23.67,0.7,19.83,66.5,0.52,92.98,38.42,42.01,27.97,0.37
LLUISOS DE GRACIA A - VERDI SUBMINISTRAMENTS Equipo Rival,['Mitjana Rival'],6.0,200.0,65.17,14.67,33.5,0.44,8.0,23.83,0.34,11.83,17.83,0.66,24.17,62.5,0.48,104.27,46.51,44.97,20.64,0.42
NOU BASQUET OLESA A Equipo,['Mitjana'],5.0,200.0,68.2,19.2,39.8,0.48,5.4,18.2,0.3,13.6,23.2,0.59,20.4,65.4,0.48,104.28,47.07,47.99,23.45,0.31
NOU BASQUET OLESA A Equipo Rival,['Mitjana Rival'],5.0,200.0,69.4,16.6,42.2,0.39,8.6,26.0,0.33,10.4,16.0,0.65,24.0,72.2,0.52,96.12,43.26,41.31,15.25,0.38
PUJOL CB MOLLERUSSA Equipo,['Mitjana'],4.0,200.0,61.25,18.5,47.0,0.39,3.5,19.0,0.18,13.75,21.75,0.63,21.5,72.5,0.5,84.48,35.98,39.52,20.83,0.29
PUJOL CB MOLLERUSSA Equipo Rival,['Mitjana Rival'],4.0,200.0,83.5,17.75,34.75,0.51,11.25,29.5,0.38,14.25,23.25,0.61,20.75,71.5,0.5,116.78,53.89,50.18,22.18,0.46
SD ESPANYOL Equipo,['Mitjana'],6.0,200.0,72.83,19.67,38.5,0.51,5.83,23.33,0.25,16.0,26.17,0.61,20.17,70.33,0.51,103.55,45.96,47.56,25.88,0.38
SD ESPANYOL Equipo Rival,['Mitjana Rival'],6.0,200.0,67.17,17.83,37.83,0.47,6.67,24.17,0.28,11.5,16.83,0.68,24.5,66.5,0.49,101.0,44.89,44.46,18.55,0.39
TERRA ENDINS CB VILATORRADA Equipo,['Mitjana'],6.0,200.0,71.17,17.83,44.67,0.4,7.17,27.17,0.26,14.0,21.83,0.64,19.5,78.17,0.53,91.04,39.79,40.47,19.49,0.38
TERRA ENDINS CB VILATORRADA Equipo Rival,['Mitjana Rival'],6.0,200.0,75.33,17.33,34.33,0.5,9.5,28.5,0.33,12.17,20.17,0.6,22.33,68.83,0.47,109.44,50.27,47.43,19.36,0.45
VEDRUNA GRACIA A Equipo,['Mitjana'],6.0,200.0,69.5,16.67,34.67,0.48,7.33,26.0,0.28,14.17,21.0,0.67,21.0,67.0,0.5,103.73,45.6,45.62,23.35,0.43
VEDRUNA GRACIA A Equipo Rival,['Mitjana Rival'],6.0,200.0,70.67,19.0,37.83,0.5,7.17,24.83,0.29,11.17,18.33,0.61,23.67,67.83,0.5,104.18,47.47,46.26,17.82,0.4
