Nom,Jornada,Equip,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Local,Visitant,Resultat,Diferencia,Titular
b'ABDERRAHMANE RAHOU KADIRI',Jornada 01,[0.0],4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TERRA ENDINS CB VILATORRADA,GRUP VIA - CB ARTES,True,3.0,False
b'ABDERRAHMANE RAHOU KADIRI',Jornada 02,[0.0],4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TERRA ENDINS CB VILATORRADA,COCHESINTERNET.NET CB ALPICAT,True,7.0,False
b'ABDERRAHMANE RAHOU KADIRI',Jornada 02,[0.0],18.0,2.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,SD ESPANYOL,TERRA ENDINS CB VILATORRADA,False,-9.0,False
b'ABDERRAHMANE RAHOU KADIRI',Jornada 04,[0.0],6.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C.B.CASTELLAR A,TERRA ENDINS CB VILATORRADA,False,-14.0,False
b'ABDERRAHMANE RAHOU KADIRI',Jornada 05,[0.0],18.0,4.0,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,LLUISOS DE GRACIA A - VERDI SUBMINISTRAMENTS,TERRA ENDINS CB VILATORRADA,False,-18.0,False
b'ABDERRAHMANE RAHOU KADIRI',Jornada 06,[0.0],18.0,6.0,2.0,3.0,0.67,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TERRA ENDINS CB VILATORRADA,CLUB NATACIO TERRASSA A,True,6.0,False
b'ABDERRAHMANE RAHOU KADIRI',Jornada 06,[0.0],24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,CB IPSI A,TERRA ENDINS CB VILATORRADA,False,-19.0,False
b'ABDERRAHMANE RAHOU KADIRI',Jornada 08,[0.0],22.0,6.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TERRA ENDINS CB VILATORRADA,VEDRUNA GRACIA A,True,4.0,False
b'ABDERRAHMANE RAHOU KADIRI',Jornada 09,[0.0],9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,PUJOL CB MOLLERUSSA,TERRA ENDINS CB VILATORRADA,False,-3.0,False
b'ABDERRAHMANE RAHOU KADIRI',Jornada 12,[0.0],3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TERRA ENDINS CB VILATORRADA,BASQUET MOLINS,True,12.0,False
b'ADRI PAL MASSIP',Jornada 01,[0.0],11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,VEDRUNA GRACIA A,LA SALLE MANRESA S.GOL,False,-7.0,False
b'ADRI PAL MASSIP',Jornada 02,[0.0],3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,LA SALLE MANRESA S.GOL,PUJOL CB MOLLERUSSA,True,16.0,False
b'ADRI PAL MASSIP',Jornada 03,[0.25],13.0,2.0,1.0,3.0,0.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,LA SALLE MANRESA S.GOL,LLUISOS DE GRACIA A - VERDI SUBMINISTRAMENTS,False,-1.0,False
