Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Local,Visitant,Victoria,Diferencia
BASQUET SAFA CLAROR A Equipo,Jornada 02,1.0,200.0,56.0,19.0,50.0,0.38,3.0,14.0,0.21,9.0,18.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,BASQUET SAFA CLAROR A,EVENTS CB IGUALADA,False,-9.0
BASQUET SAFA CLAROR A Equipo,Jornada 03,1.0,200.0,47.0,11.0,27.0,0.41,5.0,24.0,0.21,10.0,12.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,BASQUET SAFA CLAROR A,CAMPING BIANYA ROSER A,False,-7.0
BASQUET SAFA CLAROR A Equipo,Jornada 03,1.0,200.0,55.0,22.0,56.0,0.39,2.0,17.0,0.12,5.0,13.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,INTERSPORT OLARIA SAMA VILANOVA,BASQUET SAFA CLAROR A,False,-16.0
BASQUET SAFA CLAROR A Equipo,Jornada 05,1.0,200.0,49.0,15.0,51.0,0.29,4.0,21.0,0.19,7.0,19.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,CB GRANOLLERS 1,BASQUET SAFA CLAROR A,False,-16.0
BASQUET SAFA CLAROR A Equipo,Jornada 05,1.0,200.0,45.0,10.0,33.0,0.3,6.0,18.0,0.33,7.0,14.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,BASQUET SAFA CLAROR A,MANRESA CBF,False,-32.0
BASQUET SAFA CLAROR A Equipo,Jornada 07,1.0,200.0,51.0,15.0,42.0,0.36,5.0,20.0,0.25,6.0,10.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,BASQUET SAFA CLAROR A,TGN BASQUET A,False,-13.0
BASQUET SAFA CLAROR A Equipo,Jornada 08,1.0,200.0,63.0,22.0,44.0,0.5,3.0,13.0,0.23,10.0,20.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,C.B. PRAT - MONTIBELLO A,BASQUET SAFA CLAROR A,True,8.0
BASQUET SAFA CLAROR A Equipo,Jornada 09,1.0,200.0,58.0,16.0,37.0,0.43,1.0,15.0,0.07,23.0,35.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,BASQUET SAFA CLAROR A,GRAFIQUES VILANOVA CEJ L'HOSPITALET A,True,4.0
BASQUET SAFA CLAROR A Equipo,Jornada 10,1.0,200.0,48.0,17.0,41.0,0.41,4.0,22.0,0.18,2.0,8.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,CEEB TORDERA UNIGIRONA,BASQUET SAFA CLAROR A,False,-25.0
BASQUET SAFA CLAROR A Equipo,Jornada 11,1.0,200.0,57.0,16.0,42.0,0.38,4.0,16.0,0.25,13.0,28.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,BASQUET SAFA CLAROR A,DRAFT GRAMENET A,False,-28.0
