Nombre,Condicion,Partidos,Minutos,Puntos,T2 Anotados,T2 Lanzados,% T2,T3 Anotados,T3 Lanzados,% T3,T1 Anotados,T1 Lanzados,% T1,Reb. Ofensivos,Reb. Defensivos,Rebotes,Asistencias,Robos,Perdidas,Tapones,Tapones Recibidos,Mates,Faltas Cometidas,Faltas Recibidas,Valoracion,% Asist,% Tiro Efectivo,% Tiro Verdadero,GScore,TLR,Posesiones Anotadas,Posesiones No Anotadas,Floor Percentage,Puntos por Tiro,% Rebotes,% Rebotes Def,% Rebotes Of,% Robos,Toques,Uso,Versatilidad,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pérdidas Mal Pase,Perdidas Balón Controlado,Otras Perdidas,Faltas de Tiro,Faltas No de Tiro,Técnicas,Antideportivas,Ofensivas,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p
b'EDUARD MAS FERRE',3 Local,2.0,33.0,10.0,1.5,4.5,0.33,1.5,4.5,0.33,2.5,4.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.42,0.46,3.5,13.89,4.38,6.22,41.27,0.83,0.0,0.0,0.0,0.0,12.91,17.58,0.0,-2.0,100.0,91.32,8.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'EDUARD MAS FERRE',3 Visitante,2.0,25.0,7.5,2.5,4.5,0.56,0.0,1.5,0.0,2.5,4.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.42,0.48,2.9,20.84,3.88,3.73,50.99,0.83,0.0,0.0,0.0,0.0,9.29,17.37,0.0,-1.5,107.14,98.34,8.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'EDUARD MAS FERRE',4 Banquillo,4.0,29.0,8.75,2.0,4.5,0.44,0.75,3.0,0.25,2.5,4.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.42,0.47,3.2,8.33,4.12,4.97,45.33,0.83,0.0,0.0,0.0,0.0,11.04,17.54,0.0,-1.75,100.0,94.73,5.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'EDUARD MAS FERRE',5 Dificil,2.0,33.0,10.0,1.5,4.5,0.33,1.5,4.5,0.33,2.5,4.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.42,0.46,3.5,13.89,4.38,6.22,41.27,0.83,0.0,0.0,0.0,0.0,12.91,17.58,0.0,-2.0,100.0,91.32,8.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'EDUARD MAS FERRE',5 Facil,2.0,25.0,7.5,2.5,4.5,0.56,0.0,1.5,0.0,2.5,4.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.42,0.48,2.9,20.84,3.88,3.73,50.99,0.83,0.0,0.0,0.0,0.0,9.29,17.37,0.0,-1.5,107.14,98.34,8.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'EDUARD MAS FERRE',7 Ultimos 3,3.0,27.0,9.67,2.33,5.0,0.47,0.67,2.0,0.33,3.0,4.67,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.48,0.53,4.5,14.29,4.63,4.24,52.2,0.95,0.0,0.0,0.0,0.0,11.13,18.42,0.0,-0.67,116.0,94.7,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'ERIC MANZANARES IZQUIERDO',1 Media,4.0,9.25,4.5,0.75,1.25,0.6,0.75,1.25,0.6,0.75,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.75,0.71,2.85,7.5,1.95,1.15,62.9,1.5,0.0,0.0,0.0,0.0,3.83,18.77,0.0,1.0,163.64,94.8,68.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'ERIC MANZANARES IZQUIERDO',2 Derrota,1.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.4,0.0,-2.0,82.67,92.18,-9.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'ERIC MANZANARES IZQUIERDO',2 Victoria,3.0,8.33,6.0,1.0,1.33,0.75,1.0,1.33,0.75,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.94,0.85,4.27,12.5,2.6,0.87,75.0,1.88,0.0,0.0,0.0,0.0,4.45,24.1,0.0,2.0,200.0,95.87,104.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'ERIC MANZANARES IZQUIERDO',3 Local,2.0,6.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.99,0.0,-1.0,90.97,91.75,-0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
